,state,count,date,manner_of_death,armed,age,gender,race,city,signs_of_mental_illness,threat_level,flee,body_camera,percentage
0,AK,4,2015-02-08,shot,gun,33.0,M,N,Fairbanks,False,attack,Car,False,0.4036326942482341
1,AL,17,2015-02-20,shot,gun,36.0,M,W,Arab,False,attack,Not fleeing,False,1.7154389505549947
2,AR,5,2015-01-08,shot,gun,31.0,M,W,Cabot,False,attack,Not fleeing,False,0.5045408678102926
3,AZ,42,2015-01-27,shot,gun,28.0,M,W,Phoenix,False,attack,Not fleeing,False,4.238143289606458
4,CA,189,2015-03-13,shot,gun,27.0,M,H,Los Angeles,False,attack,Not fleeing,False,19.071644803229063
5,CO,29,2015-11-10,shot,gun,17.0,M,W,Aurora,False,attack,Not fleeing,False,2.9263370332996974
6,CT,2,2015-08-14,shot,box cutter,31.0,M,W,Bolton,False,attack,Car,False,0.20181634712411706
7,DC,4,2015-03-12,shot,gun,21.0,M,B,Washington,False,attack,Not fleeing,False,0.4036326942482341
8,DE,3,2015-03-08,shot,gun,28.0,M,W,Claymont,False,attack,Not fleeing,False,0.30272452068617556
9,FL,60,2015-02-04,shot,gun,28.0,M,B,Miami,False,attack,Not fleeing,False,6.054490413723512
10,GA,29,2015-02-23,shot,gun,25.0,M,W,Atlanta,False,attack,Not fleeing,False,2.9263370332996974
11,HI,2,2015-05-12,shot,gun,39.0,M,B,Honolulu,False,attack,Not fleeing,False,0.20181634712411706
12,IA,5,2015-01-06,shot,gun,21.0,M,W,Des Moines,False,attack,Car,False,0.5045408678102926
13,ID,7,2015-01-24,shot,gun,31.0,M,W,Boise,False,attack,Not fleeing,False,0.7063572149344097
14,IL,21,2015-04-02,shot,gun,27.0,M,B,Chicago,False,attack,Not fleeing,False,2.119071644803229
15,IN,19,2015-01-15,shot,gun,29.0,M,W,Indianapolis,False,attack,Not fleeing,False,1.917255297679112
16,KS,9,2015-01-03,shot,gun,21.0,M,W,Kansas City,False,attack,Not fleeing,False,0.9081735620585267
17,KY,16,2015-01-18,shot,gun,53.0,M,W,Louisville,False,attack,Not fleeing,False,1.6145307769929365
