state,count,date,manner_of_death,armed,age,gender,race,city,signs_of_mental_illness,threat_level,flee,body_camera,percentage
ID,6,2016,shot,gun,34.0,M,W,Boise,False,attack,Car,False,0.6230529595015576
IL,26,2016,shot,gun,21.0,M,B,Chicago,False,attack,Foot,False,2.699896157840083
IN,14,2016,shot,knife,29.0,M,W,Indianapolis,False,attack,Not fleeing,False,1.453790238836968
KS,10,2016,shot,gun,18.0,M,W,Hays,False,attack,Not fleeing,False,1.0384215991692627
KY,18,2016,shot,gun,34.0,M,W,Louisville,False,attack,Not fleeing,False,1.8691588785046727
LA,19,2016,shot,gun,48.0,M,B,Baton Rouge,False,attack,Not fleeing,False,1.9730010384215992
MA,12,2016,shot,gun,33.0,M,B,Boston,False,attack,Not fleeing,False,1.2461059190031152
MD,15,2016,shot,gun,18.0,M,B,Baltimore,False,attack,Not fleeing,False,1.557632398753894
ME,2,2016,shot,gun,29.0,M,O,Naples,False,attack,Not fleeing,False,0.20768431983385255
MI,13,2016,shot,gun,43.0,M,W,Belleville,False,attack,Not fleeing,False,1.3499480789200415
MN,14,2016,shot,gun,33.0,M,W,Burnsville,False,attack,Not fleeing,False,1.453790238836968
MO,21,2016,shot,gun,19.0,M,W,Kansas City,False,attack,Not fleeing,False,2.1806853582554515
MS,8,2016,shot,gun,37.0,M,B,Tupelo,False,attack,Not fleeing,False,0.8307372793354102
MT,5,2016,shot,gun,20.0,M,W,Billings,False,attack,Not fleeing,False,0.5192107995846313
NC,33,2016,shot,gun,18.0,M,W,Charlotte,False,attack,Not fleeing,False,3.4267912772585665
ND,1,2016,shot,unarmed,42.0,M,W,Bismarck,False,undetermined,Foot,False,0.10384215991692627
NE,7,2016,shot,gun,22.0,M,W,Omaha,False,attack,Foot,False,0.726895119418484
NH,2,2016,shot,gun,19.0,M,W,Claremont,True,attack,Car,False,0.20768431983385255
NJ,12,2016,shot,gun,18.0,M,B,Newark,False,other,Not fleeing,False,1.2461059190031152
NM,21,2016,shot,gun,29.0,M,H,Albuquerque,False,attack,Not fleeing,False,2.1806853582554515
NV,14,2016,shot,gun,22.0,M,H,Las Vegas,False,attack,Not fleeing,False,1.453790238836968
NY,17,2016,shot,gun,32.0,M,B,New York,True,attack,Not fleeing,False,1.7653167185877467
OH,26,2016,shot,gun,26.0,M,B,Columbus,False,other,Not fleeing,False,2.699896157840083
OK,26,2016,shot,gun,43.0,M,W,Tulsa,False,attack,Not fleeing,False,2.699896157840083
OR,15,2016,shot,gun,36.0,M,W,Bend,False,other,Not fleeing,False,1.557632398753894
PA,22,2016,shot,gun,20.0,M,B,Philadelphia,False,attack,Not fleeing,False,2.284527518172378
RI,2,2016,shot,gun,24.0,M,B,Pawtucket,False,attack,Car,False,0.20768431983385255
SC,17,2016,shot,gun,35.0,M,W,Piedmont,False,attack,Not fleeing,False,1.7653167185877467
SD,4,2016,shot,gun,22.0,M,W,Rapid City,False,attack,Not fleeing,False,0.4153686396677051
TN,22,2016,shot,gun,28.0,M,W,Lenoir City,False,attack,Not fleeing,False,2.284527518172378
TX,82,2016,shot,gun,36.0,M,W,Houston,False,attack,Not fleeing,False,8.515057113187954
UT,8,2016,shot,gun,31.0,M,W,Clearfield,False,attack,Not fleeing,False,0.8307372793354102
VA,17,2016,shot,gun,25.0,M,B,Norfolk,True,attack,Not fleeing,False,1.7653167185877467
VT,2,2016,shot,knife,29.0,M,N,Burlington,False,other,Foot,True,0.20768431983385255
WA,26,2016,shot,gun,38.0,M,W,Kelso,False,other,Not fleeing,False,2.699896157840083
WI,17,2016,shot,gun,25.0,M,W,Milwaukee,False,attack,Not fleeing,False,1.7653167185877467
WV,12,2016,shot,gun,55.0,M,W,Augusta,False,attack,Not fleeing,False,1.2461059190031152
WY,2,2016,shot,gun,44.0,M,H,Casper,False,attack,Not fleeing,False,0.20768431983385255
