state,count,date,manner_of_death,armed,age,gender,race,city,signs_of_mental_illness,threat_level,flee,body_camera,percentage,Unnamed: 0_x,Year,ID,Name,Poverty Universe,Number in Poverty,90% Confidence Interval,Percent in Poverty,90% Confidence Interval.1,Unnamed: 0_y,State,Total_Population,Numbers_of_Deaths_with_Population_Factor,Poverty_with_Population_Factor,Log Poverty,Log Killings
GA,29,2015,shot,gun,25.0,M,W,Atlanta,False,attack,Not fleeing,False,2.9263370332996974,219,2015,13000,GA,9943136,1705831,"1,680,084 to 1,731,578",17.2,16.9 to 17.5,10,GA,4790859,6.0531942184063445e-06,0.35605952919925216,0.35605952919925216,6.0531942184063445e-06
HI,2,2015,shot,gun,39.0,M,B,Honolulu,False,attack,Not fleeing,False,0.201816347124117,220,2015,15000,HI,1394130,149091,"143,298 to 154,884",10.7,10.3 to 11.1,11,HI,1354589,1.4764626023096304e-06,0.11006364292047256,0.11006364292047256,1.4764626023096304e-06
IA,5,2015,shot,gun,21.0,M,W,Des Moines,False,attack,Car,False,0.5045408678102926,224,2015,19000,IA,3021824,366453,"356,824 to 376,082",12.1,11.8 to 12.4,12,IA,2488020,2.0096301476676233e-06,0.1472869993006487,0.1472869993006487,2.0096301476676233e-06
ID,7,2015,shot,gun,31.0,M,W,Boise,False,attack,Not fleeing,False,0.7063572149344097,221,2015,16000,ID,1622106,238646,"229,473 to 247,819",14.7,14.1 to 15.3,13,ID,1143459,6.121776119650989e-06,0.20870534055003284,0.20870534055003284,6.121776119650989e-06
IL,21,2015,shot,gun,27.0,M,B,Chicago,False,attack,Not fleeing,False,2.119071644803229,222,2015,17000,IL,12559451,1702210,"1,676,981 to 1,727,439",13.6,13.4 to 13.8,14,IL,11328531,1.8537266658845705e-06,0.15025866990168452,0.15025866990168452,1.8537266658845705e-06
IN,19,2015,shot,gun,29.0,M,W,Indianapolis,False,attack,Not fleeing,False,1.917255297679112,223,2015,18000,IN,6417433,924428,"906,481 to 942,375",14.4,14.1 to 14.7,15,IN,4532790,4.19167885562755e-06,0.20394238427105602,0.20394238427105602,4.19167885562755e-06
KS,9,2015,shot,gun,21.0,M,W,Kansas City,False,attack,Not fleeing,False,0.9081735620585268,225,2015,20000,KS,2830955,366069,"355,837 to 376,301",12.9,12.5 to 13.3,16,KS,2421673,3.716439007248295e-06,0.15116367899381955,0.15116367899381955,3.716439007248295e-06
KY,16,2015,shot,gun,53.0,M,W,Louisville,False,attack,Not fleeing,False,1.6145307769929365,226,2015,21000,KY,4290011,786345,"770,810 to 801,880",18.3,17.9 to 18.7,17,KY,2577542,6.2074643206589845e-06,0.3050755332017868,0.3050755332017868,6.2074643206589845e-06
LA,27,2015,shot,gun,33.0,M,B,New Orleans,False,attack,Not fleeing,False,2.7245206861755804,227,2015,22000,LA,4541708,885846,"868,463 to 903,229",19.5,19.1 to 19.9,18,LA,3049199,8.854784486024034e-06,0.29051760806690546,0.29051760806690546,8.854784486024034e-06
MA,9,2015,shot,knife,49.0,M,W,Boston,False,attack,Not fleeing,False,0.9081735620585268,230,2015,25000,MA,6558724,752453,"735,323 to 769,583",11.5,11.2 to 11.8,19,MA,4723628,1.9053151518282134e-06,0.1592955668820661,0.1592955668820661,1.9053151518282134e-06
